Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,,Publication Year,Count
name,count,,name,count,,name,count,,name,count,,,
FALSE,15066,,Advanced Battery Materials and Technologies,8625,,United States Department of Energy,1519,,article,18868,,2024,2420.00
TRUE,5666,,Advancements in Battery Materials,6055,,Office of Science,1251,,preprint,830,,2023,2281.00
,,,Advanced Battery Technologies Research,1752,,Chinese Academy of Sciences,1150,,review,301,,2022,2114.00
,,,Advanced battery technologies research,534,,Helmholtz Association of German Research Centres,685,,dissertation,258,,2020,1820.00
,,,Supercapacitor Materials and Fabrication,361,,Centre National de la Recherche Scientifique,565,,book-chapter,146,,2019,1638.00
,,,Extraction and Separation Processes,346,,University of Chicago,511,,paratext,73,,2021,1580.00
,,,Ionic liquids properties and applications,237,,Argonne National Laboratory,485,,report,63,,2016,1552.00
,,,Conducting polymers and applications,217,,Tsinghua University,445,,other,61,,2025,1402.00
,,,Fuel Cells and Related Materials,198,,Institut de Chimie,373,,peer-review,36,,2018,1158.00
,,,Electron and X-Ray Spectroscopy Techniques,126,,Karlsruhe Institute of Technology,351,,dataset,35,,2017,1061.00
,,,Semiconductor materials and devices,112,,University of Chinese Academy of Sciences,339,,editorial,23,,2015,963.00
,,,Electrochemical Analysis and Applications,94,,Lawrence Berkeley National Laboratory,312,,book,22,,2014,954.00
,,,Machine Learning in Materials Science,91,,University of Science and Technology of China,285,,grant,5,,2013,369.00
,,,MXene and MAX Phase Materials,75,,Kyoto University,284,,letter,5,,2012,274.00
,,,Hydrogen Storage and Materials,66,,United States Department of Defense,278,,erratum,4,,2011,215.00
,,,Inorganic Fluorides and Related Compounds,64,,Forschungszentrum Jülich,273,,standard,2,,2010,140.00
,,,Transition Metal Oxide Nanomaterials,63,,Huazhong University of Science and Technology,266,,libguides,0,,2009,100.00
,,,Covalent Organic Framework Applications,55,,"University of California, Berkeley",251,,reference-entry,0,,2007,98.00
,,,Solid-state spectroscopy and crystallography,52,,Zhejiang University,247,,supplementary-materials,0,,2008,93.00
,,,Polyoxometalates: Synthesis and Applications,49,,"University of Maryland, College Park",223,,retraction,0,,2006,85.00
