Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,,Publication Year,Count
name,count,,name,count,,name,count,,name,count,,,
FALSE,305234,,Advanced Battery Materials and Technologies,43006,,Chinese Academy of Sciences,11070,,article,386507,,2024,27115
TRUE,130117,,Fuel Cells and Related Materials,24325,,United States Department of Energy,10472,,preprint,10572,,2023,26728
,,,Advancements in Battery Materials,20039,,Office of Science,7940,,review,8913,,2022,23847
,,,Supercapacitor Materials and Fabrication,14184,,Centre National de la Recherche Scientifique,7212,,book-chapter,8620,,2021,20996
,,,Advancements in Solid Oxide Fuel Cells,12956,,Helmholtz Association of German Research Centres,5396,,dissertation,7089,,2020,20906
,,,Advanced battery technologies research,12139,,Institut de Chimie,3712,,report,2412,,2019,19233
,,,Electrochemical Analysis and Applications,10973,,Russian Academy of Sciences,3498,,other,2070,,2025,17228
,,,Electrocatalysts for Energy Conversion,9882,,Tsinghua University,3211,,letter,1863,,2018,17181
,,,Conducting polymers and applications,8539,,University of Chicago,2844,,peer-review,1694,,2016,16357
,,,Advanced Battery Technologies Research,6985,,University of Chinese Academy of Sciences,2646,,book,1533,,2017,15560
,,,Electrolyte and hormonal disorders,6620,,Government of India,2536,,paratext,1409,,2015,14921
,,,TiO2 Photocatalysis and Solar Cells,6114,,Board of the Swiss Federal Institutes of Technology,2483,,dataset,1022,,2014,14892
,,,Renal function and acid-base balance,5333,,University of Science and Technology of China,2472,,standard,453,,2013,13426
,,,Chemical and Physical Properties in Aqueous Solutions,4928,,Argonne National Laboratory,2404,,erratum,442,,2012,11871
,,,Electrodeposition and Electroless Coatings,4880,,Kyoto University,2342,,editorial,429,,2011,11080
,,,Electrostatics and Colloid Interactions,4502,,Central South University,2190,,grant,168,,2010,10345
,,,Analytical Chemistry and Sensors,4431,,Lawrence Berkeley National Laboratory,2184,,reference-entry,106,,2009,9212
,,,Corrosion Behavior and Inhibition,4072,,Zhejiang University,2129,,libguides,42,,2008,8451
,,,Ionic liquids properties and applications,3845,,Forschungszentrum Jülich,2067,,retraction,7,,2007,7820
,,,Anodic Oxide Films and Nanostructures,3760,,Karlsruhe Institute of Technology,2042,,supplementary-materials,0,,2006,7497
,,,Extraction and Separation Processes,3297,,Shanghai Jiao Tong University,2040,,,,,2005,6545
,,,CO2 Reduction Techniques and Catalysts,2882,,"University of California, Berkeley",2032,,,,,2004,5966
